chemical_id	chemical_name	compound_type	molecular_formula	molecular_weight	role_in_bioprocess	chebi_id	pubchem_id	chembl_id	properties	Download URL	source	Unnamed: 12
PFNA	Perfluorononanoic acid	PFCA	C9HF17O2	464.08	long-chain PFCA; environmental contaminant and surfactant	CHEBI:38397	67821	CHEMBL426404	very persistent and bioaccumulative; often found with PFOA and PFOS in biota	https://pubchem.ncbi.nlm.nih.gov/compound/67821	PubChem; ChEBI; ChEMBL	
PFNS	Perfluorononanesulfonic acid	PFSA	C9HF19O3S	550.13	long-chain PFSA; present in some legacy PFAS formulations				very persistent PFSA; expected strong sorption and bioaccumulation		general PFSA literature	
ADONA	Ammonium 4	8-dioxa-3H-perfluorononanoate (ADONA)	PFAS (replacement)	C7H2F12O4	332.07	replacement PFAS surfactant used in some fluoropolymer production		52915299		short-chain ether PFAS; persistent and highly mobile in aquatic systems	https://pubchem.ncbi.nlm.nih.gov/compound/52915299	PubChem
PubChem:9554	2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorocaprylic acid	pfas	C8HF15O2		PFAS compound for biodegradation studies		9554		"{""source"": ""PubChem"", ""iupac_name"": ""2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorocaprylic acid""}"	https://pubchem.ncbi.nlm.nih.gov/compound/9554	extend2	
PubChem:74483	1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid	pfas	C8HF17O3S		PFAS compound for biodegradation studies		74483		"{""source"": ""PubChem"", ""iupac_name"": ""1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid""}"	https://pubchem.ncbi.nlm.nih.gov/compound/74483	extend2	
PubChem:67821	2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoropelargonic acid	pfas	C9HF17O2		PFAS compound for biodegradation studies		67821		"{""source"": ""PubChem"", ""iupac_name"": ""2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoropelargonic acid""}"	https://pubchem.ncbi.nlm.nih.gov/compound/67821	extend2	
PubChem:9555	2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorocapric acid	pfas	C10HF19O2		PFAS compound for biodegradation studies		9555		"{""source"": ""PubChem"", ""iupac_name"": ""2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorocapric acid""}"	https://pubchem.ncbi.nlm.nih.gov/compound/9555	extend2	
PubChem:67734	1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonic acid	pfas	C6HF13O3S		PFAS compound for biodegradation studies		67734		"{""source"": ""PubChem"", ""iupac_name"": ""1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonic acid""}"	https://pubchem.ncbi.nlm.nih.gov/compound/67734	extend2	
PubChem:67815	1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonic acid	pfas	C4HF9O3S		PFAS compound for biodegradation studies		67815		"{""source"": ""PubChem"", ""iupac_name"": ""1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonic acid""}"	https://pubchem.ncbi.nlm.nih.gov/compound/67815	extend2	
PubChem:114481	2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy)propionic acid	pfas	C6HF11O3		PFAS compound for biodegradation studies		114481		"{""source"": ""PubChem"", ""iupac_name"": ""2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy)propionic acid""}"	https://pubchem.ncbi.nlm.nih.gov/compound/114481	extend2	
PubChem:9777	2,2,3,3,4,4,4-heptafluorobutyric acid	pfas	C4HF7O2		PFAS compound for biodegradation studies		9777		"{""source"": ""PubChem"", ""iupac_name"": ""2,2,3,3,4,4,4-heptafluorobutyric acid""}"	https://pubchem.ncbi.nlm.nih.gov/compound/9777	extend2	
PubChem:67542	2,2,3,3,4,4,5,5,6,6,6-undecafluorohexanoic acid	pfas	C6HF11O2		PFAS compound for biodegradation studies		67542		"{""source"": ""PubChem"", ""iupac_name"": ""2,2,3,3,4,4,5,5,6,6,6-undecafluorohexanoic acid""}"	https://pubchem.ncbi.nlm.nih.gov/compound/67542	extend2	
PubChem:67545	2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-tricosafluorolauric acid	pfas	C12HF23O2		PFAS compound for biodegradation studies		67545		"{""source"": ""PubChem"", ""iupac_name"": ""2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-tricosafluorolauric acid""}"	https://pubchem.ncbi.nlm.nih.gov/compound/67545	extend2	
PubChem:9554	2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorocaprylic acid	pfas	C8HF15O2		PFAS compound for biodegradation studies		9554		"{""source"": ""PubChem"", ""iupac_name"": ""2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorocaprylic acid""}"	https://pubchem.ncbi.nlm.nih.gov/compound/9554	extend2	
PubChem:74483	1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid	pfas	C8HF17O3S		PFAS compound for biodegradation studies		74483		"{""source"": ""PubChem"", ""iupac_name"": ""1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid""}"	https://pubchem.ncbi.nlm.nih.gov/compound/74483	extend2	
CHEBI:138675	Methylolanthanin	lanthanophore	C30H42N6O15	730.69	Lanthanide chelation and transport	CHEBI:138675	136161579		"{""source"": ""CHEBI"", ""metal_binding"": ""high affinity for La/Ce/Nd"", ""producer"": ""Methylobacterium extorquens"", ""structure"": ""hydroxamate-type siderophore""}"	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:138675	extend2	
